"","x","fit1","se","fit2","se2","GauTRL","sumerror","fit3","se3"
"1",12.64,2.63656870771768,0.00873716359135172,2.82710280765677,0.00534816511884014,0.0225310844456442,0.0231571292788015,2.75053525174064,0.0305615124574602
"2",10.87,2.6223279905378,0.00539149999476662,2.79037935639121,0.00501225170924413,0.0139034070268545,0.0147792893655685,2.73259661411907,0.0188587969690247
"3",12.38,2.63460674690287,0.00724021041453788,2.82204337339814,0.00530137462069758,0.0186707952241681,0.019408842499536,2.7480638239579,0.025325356274381
"4",10.73,2.62110430727685,0.00621919688939275,2.78722376583839,0.00498381444717659,0.0160378421250685,0.0167943677008844,2.73105517415474,0.0217539778468505
"5",11.58,2.62830075669943,0.00363535179541848,2.80578171178431,0.00515206030929087,0.00937471496736915,0.0106971494403876,2.74012034248321,0.0127160088078131
"6",12.07,2.63221290890225,0.00554723782072807,2.81587022972545,0.0052444957834979,0.0143050181528716,0.0152360848112996,2.74504837242723,0.0194035485303815
"7",12.02,2.6318210565293,0.00529308597988553,2.81485973486485,0.00523520777862702,0.0136496204911285,0.0146191497713523,2.74455476682923,0.0185145569750804
"8",12.66,2.63671795217737,0.00885353286319301,2.82748767392249,0.00535173068767022,0.0228311733547415,0.0234500212816025,2.75072325085934,0.030968557708915
"9",11.18,2.62498241498767,0.00395717537485294,2.79722449106326,0.00507418293762202,0.0102046220841381,0.0113965628311581,2.73594031919366,0.0138417076950041
"10",11.49,2.62756423461898,0.00351912863780483,2.8038823950304,0.00513473233587678,0.00907500285240722,0.0104269436045419,2.73919256598609,0.0123094746457687
"11",10.67,2.62057497635099,0.00659589995039313,2.78585874621097,0.00497153581636803,0.017009270482749,0.0177209325581005,2.73038839062545,0.0230716383405744
"12",10.79,2.62163068652793,0.00585485528823909,2.78858117379264,0.00499603814451285,0.0150982910571705,0.0159034207008575,2.73171823954094,0.0204795562034867
"13",11.87,2.63063564411913,0.00458617907960669,2.81180283581093,0.00520714959641408,0.0118266743028304,0.0129222533632747,2.7430615355973,0.0160418844866631
"14",11.21,2.62523537744658,0.00386170109510291,2.79787682158949,0.00508010204878063,0.00995841643204705,0.0111793333727951,2.73625896900777,0.0135077505292214
"15",11.98,2.63150639923431,0.00509559013759369,2.81404830790565,0.00522775418431926,0.0131403252886504,0.014142049444943,2.7441584017362,0.0178237410619535
"16",11.03,2.62370733345188,0.00456395932976754,2.79393635648072,0.00504439226773197,0.0117693748080055,0.0128048458296876,2.73433413424386,0.0159641625630193
"17",11.61,2.62854499254355,0.00369656333570226,2.80641153842897,0.00515781167879263,0.00953256509444553,0.0108384878370431,2.740427999622,0.0129301191688432
"18",10.98,2.62327844992859,0.00480591841460172,2.79283036701635,0.00503438904499916,0.0123933302273805,0.01337683472206,2.73379388152984,0.0168105053730217
"19",12.13,2.63268099466019,0.00586120683293632,2.81707731250805,0.00525559914492064,0.0151146701930808,0.0160023303745953,2.74563800711216,0.0205017731175183
"20",10.81,2.62180549602436,0.00573645910713934,2.78903196625918,0.00500010057839242,0.0147929752270948,0.0156151567991962,2.73193844222944,0.020065421075334
"21",11.44,2.62715255886361,0.00350157132809957,2.80282078034143,0.00512505745350504,0.00902972669115974,0.0103827827685438,2.73867398942145,0.0122480613583023
"22",12.22,2.63337879981714,0.00634675478861929,2.81887678744673,0.00527216851072175,0.0163667838656154,0.0171949810965065,2.7465170129714,0.0222001595264654
"23",10.81,2.62180549602436,0.00573645910713934,2.78903196625918,0.00500010057839242,0.0147929752270948,0.0156151567991962,2.73193844222944,0.020065421075334
