"","scientificName","sample.outlier.mass","sample.mass","sample.outlier.total.length","sample.total.length"
"436","Puma concolor",2515,5363,7852,26
"437","Rangifer tarandus",10,0,10,0
"438","Rattus everetti",35,0,35,0
"439","Rattus exulans",20,91,2,109
"440","Rattus fuscipes",16,0,1,15
"441","Rattus leucopus",24,0,1,23
"442","Rattus niobe",34,0,0,34
"443","Rattus norvegicus",47,115,9,153
"444","Rattus rattus",33,54,7,80
"445","Rattus tanezumi",126,0,126,0
"446","Rattus tiomanicus",10,0,10,0
"447","Reithrodontomys (Reithrodontomys)",256,0,7,249
"448","Reithrodontomys creper",0,34,0,34
"449","Reithrodontomys fulvescens",2,71,3,70
"450","Reithrodontomys gracilis",26,0,26,0
"451","Reithrodontomys humulis",15,7,12,10
"452","Reithrodontomys megalotis",153,249,19,383
"453","Reithrodontomys mexicanus",16,0,1,15
"454","Reithrodontomys montanus",12,18,0,30
"455","Reithrodontomys reithrodontomys",74,0,2,72
"456","Reithrodontomys sumichrasti",14,16,2,28
"457","Rhabdomys pumilio",10,0,10,0
"458","Rhinolophus arcuatus",152,0,152,0
"459","Rhinolophus fumigatus",22,0,18,4
"460","Rhinolophus inops",30,0,30,0
"461","Rhinolophus philippinensis",15,0,15,0
"462","Rhinolophus subrufus",30,0,30,0
"463","Rhinolophus virgo",78,0,78,0
"464","Rhinonicteris aurantia",14,0,0,14
"465","Rhinophylla fischerae",10,0,10,0
"466","Rhinophylla pumilio",2,51,53,0
"467","Rhipidomys venezuelae",0,11,0,11
"468","Rhogeessa tumida",2,15,1,16
"469","Rhynchonycteris naso",13,0,2,11
"470","Rousettus aegyptiacus",14,0,14,0
"471","Rousettus amplexicaudatus",1,165,3,163
"472","Saccopteryx bilineata",25,45,5,65
"473","Scalopus aquaticus",92,42,5,129
"474","Scapanus latimanus",31,0,1,30
"475","Scapanus orarius",11,130,6,135
"476","Scapanus townsendii",3,47,0,50
"477","Sciurus (Sciurus)",18,0,0,18
"478","Sciurus aberti",39,17,5,51
"479","Sciurus aureogaster",12,0,12,0
"480","Sciurus carolinensis",136,93,12,217
"481","Sciurus griseus",17,19,5,31
"482","Sciurus niger",113,131,16,228
"483","Sciurus variegatoides",49,0,49,0
"484","Scotinomys teguina",20,81,5,96
"485","Scotophilus dinganii",14,0,14,0
"486","Scotophilus kuhlii",8,10,8,10
"487","Scotorepens greyii",30,0,0,30
"488","Sigmodon (Sigmodon)",19,0,0,19
"489","Sigmodon mascotensis",3,41,0,44
"490","Sorex (Otisorex)",253,36,10,279
"491","Sorex (Sorex)",10,0,0,10
"492","Sorex araneus",51,12,63,0
"493","Sorex bairdi",140,0,140,0
"494","Sorex bendirii",62,121,79,104
"495","Sorex caecutiens",3,85,88,0
"496","Sorex cinereus",606,5612,223,5995
"497","Sorex fumeus",37,47,6,78
"498","Sorex haydeni",0,86,86,0
"499","Sorex hoyi",9,245,130,124
"500","Sorex isodon",4,16,20,0
"501","Sorex ixtlanensis",10,0,10,0
"502","Sorex jacksoni",9,24,33,0
"503","Sorex longirostris",19,51,2,68
"504","Sorex merriami",3,9,0,12
"505","Sorex monticolus",180,3123,222,3081
"506","Sorex nanus",3,23,1,25
"507","Sorex pacificus",24,1162,2,1184
"508","Sorex palustris",72,90,0,162
"509","Sorex preblei",0,39,1,38
"510","Sorex pribilofensis",0,15,15,0
"511","Sorex rohweri",14,0,14,0
"512","Sorex saussurei",11,0,0,11
"513","Sorex sonomae",38,689,727,0
"514","Sorex trowbridgii",268,2119,12,2375
"515","Sorex tundrensis",15,153,8,160
"516","Sorex ugyunak",7,46,53,0
"517","Sorex vagrans",446,3322,25,3743
"518","Sorex veraepacis",2,19,0,21
"519","Spermophilus beecheyi",216,101,138,179
"520","Spermophilus beldingi",160,0,5,155
"521","Spermophilus columbianus",18,383,8,393
"522","Spermophilus elegans",70,5,7,68
"523","Spermophilus franklinii",29,0,21,8
"524","Spermophilus lateralis",196,54,1,249
"525","Spermophilus parryii",63,8,2,69
"526","Spermophilus richardsonii",38,0,0,38
"527","Spermophilus saturatus",30,0,30,0
"528","Spermophilus tereticaudus",29,0,0,29
"529","Spermophilus townsendii",10,0,10,0
"530","Spermophilus tridecemlineatus",153,9,7,155
"531","Spermophilus variegatus",14,2,3,13
"532","Spermophilus washingtoni",37,46,2,81
"533","Spilogale gracilis",12,0,2,10
"534","Spilogale putorius",22,3,2,23
"535","Stenella attenuata",3,68,71,0
"536","Sturnira (Sturnira)",25,0,0,25
"537","Sturnira erythromos",2,15,7,10
"538","Sturnira lilium",19,164,22,161
"539","Sturnira ludovici",0,66,1,65
"540","Sturnira oporaphilum",1,10,9,2
"541","Sturnira sturnira",11,20,1,30
"542","Sturnira tildae",21,0,21,0
"543","Suncus murinus",28,0,28,0
"544","Syconycteris australis",43,14,0,57
"545","Sylvilagus (Sylvilagus)",11,0,0,11
"546","Sylvilagus aquaticus",23,0,1,22
"547","Sylvilagus audubonii",138,63,13,188
"548","Sylvilagus floridanus",91,124,7,208
"549","Sylvilagus nuttallii",47,33,5,75
"550","Sylvilagus palustris",11,0,0,11
"551","Synaptomys borealis",22,154,108,68
"552","Synaptomys cooperi",37,46,1,82
"553","Tadarida aegyptiaca",15,0,0,15
"554","Tadarida brasiliensis",103,66,66,103
"555","Tamias (Neotamias)",77,0,1,76
"556","Tamias amoenus",56,473,17,512
"557","Tamias dorsalis",46,39,5,80
"558","Tamias merriami",20,9,2,27
"559","Tamias minimus",491,742,8,1225
"560","Tamias quadrivittatus",112,60,3,169
"561","Tamias ruficaudus",258,0,258,0
"562","Tamias rufus",100,99,1,198
"563","Tamias senex",2,39,0,41
"564","Tamias sibiricus",5,36,41,0
"565","Tamias siskiyou",51,0,51,0
"566","Tamias striatus",139,145,61,223
"567","Tamias townsendii",16,137,3,150
"568","Tamias umbrinus",26,99,5,120
"569","Tamiasciurus douglasii",14,257,7,264
"570","Tamiasciurus hudsonicus",254,768,39,983
"571","Taphozous mauritianus",15,0,8,7
"572","Taphozous perforatus",21,0,21,0
"573","Taxidea taxus",41,0,3,38
"574","Thomomys (Megascapheus)",247,0,3,244
"575","Thomomys (Thomomys)",11,0,0,11
"576","Thomomys bottae",194,30,7,217
"577","Thomomys bulbivorus",1,226,170,57
"578","Thomomys mazama",3,85,1,87
"579","Thomomys talpoides",349,332,14,667
"580","Thomomys umbrinus",9,11,0,20
"581","Tonatia silvicola",18,0,18,0
"582","Trachops cirrhosus",2,16,2,16
"583","Triaenops persicus",13,0,13,0
"584","Trichechus manatus",0,14,14,0
"585","Tursiops truncatus",1,32,33,0
"586","Tylomys watsoni",12,0,12,0
"587","Urocitellus armatus",62,0,62,0
"588","Urocitellus columbianus",183,0,183,0
"589","Urocitellus elegans",4,233,7,230
"590","Urocitellus parryii",34,146,80,100
"591","Urocitellus richardsonii",470,0,470,0
"592","Urocyon cinereoargenteus",24,24,8,40
"593","Uroderma bilobatum",22,61,12,71
"594","Ursus americanus",24,15,18,21
"595","Ursus arctos",2,8,10,0
"596","Vampyressa bidens",13,0,13,0
"597","Vampyressa pusilla",10,0,10,0
"598","Vulpes lagopus",15,12,27,0
"599","Vulpes macrotis",17,32,3,46
"600","Vulpes velox",2,24,0,26
"601","Vulpes vulpes",34,227,10,251
"602","Zalophus californianus",243,15,258,0
"603","Zapus hudsonius",91,203,14,280
"604","Zapus princeps",122,539,8,653
"605","Zapus trinotatus",12,191,43,160
