"","MSW05_Binomial","sample.size","min.mass","max.mass","avg.mass","sd.err.mass","pan.mass","mass.diff"
"62","Ctenomys opimus",11,2,470,275.181818181818,34.2522243954033,327.05,1.5143011215687
"63","Cuniculus paca",10,5400,9500,7753.8,418.96300022264,8172.55,0.999491601352562
"64","Cynomys ludovicianus",26,8,1021.5,608.830769230769,63.0108751954725,797.05,2.98709119950067
"65","Cynopterus brachyotis",293,10.25,64,34.2803754266212,0.42610204051443,33.87,0.963091906637485
"66","Dasypus novemcinctus",11,1.5,6100,1538.83636363636,796.594542385697,3949.01,3.02559647113007
"67","Delphinus delphis",147,6,535000,52799.5829931973,3897.13958490026,79271.69,6.79270178296172
"68","Desmodus rotundus",103,8,71,30.9097087378641,0.896503683796207,33.16,2.5100747524061
"69","Dicrostonyx groenlandicus",337,5.9,101.4,42.2759643916914,1.07357643925158,58.44,15.0562503211946
"70","Didelphis marsupialis",17,0,2100,738.352941176471,170.745617056323,1134.75,2.32156506068774
"71","Didelphis virginiana",41,1,1645968.49438657,129172.197485967,63474.6816900408,2442.08,1.99654593157023
"72","Dipodomys californicus",14,39.9,85,62.7414285714286,3.66946740710492,84.95,6.05226016875653
"73","Dipodomys merriami",98,6,51.5,37.7795918367347,0.710305492492489,37.91,0.1835944739885
"74","Dipodomys microps",28,34,80,58.1678571428571,1.74982276934319,56.26,1.09031450286435
"75","Dipodomys ordii",201,22.7,81,54.6191542288557,0.86681191984395,50.4,4.86743909753258
"76","Dobsonia moluccensis",11,151,418,253,32.5092993688659,447.64,5.98720993004255
"77","Dromiciops gliroides",18,15.5,29.5,23.0833333333333,0.905006048439688,25,2.1178495657252
"78","Eligmodontia puerulus",10,14,21,17.6,0.733333333333333,28.49,14.85
"79","Eligmodontia typus",10,11.5,19,15.7,0.703957069398096,17.37,2.37230375629
"80","Emballonura alecto",14,4.3,65,9.64285714285714,4.26052303302231,5.25,1.03106053149088
"81","Enhydra lutris",400,9.1,18085073.9559553,8455734.19861246,172274.702557052,27410.93,48.9237429727748
"82","Eonycteris robusta",24,31,90,61.4333333333333,3.99659124078179,78.36,4.23527592562995
"83","Eptesicus furinalis",10,7.5,42,22.37,5.18932772353242,7.7,2.82695577954633
