"","MSW05_Binomial","sample.size","min.mass","max.mass","avg.mass","sd.err.mass","pan.mass","mass.diff"
"352","Sorex sonomae",719,4,26,9.26509040333797,0.0974018874694212,8.3,9.90833369261919
"353","Sorex trowbridgii",2129,2.3,50,4.69990605918272,0.0279626826476383,5.02,11.4471828347385
"354","Sorex tundrensis",162,1.9,2721.55,24.0598148148148,16.7671020391918,7.65,0.978691176117263
"355","Sorex vagrans",3669,1.3,11.1,5.53965658217498,0.0248712941591579,5.99,18.1069555505699
"356","Sorex veraepacis",21,5.25,11,8.62619047619048,0.343001788271387,7.5,3.28333703992068
"357","Spermophilus beecheyi",105,54.8,886.1,549.197142857143,15.1868304632197,597.82,3.20164614075431
"358","Spermophilus beldingi",148,123.6,478,266.089864864865,5.56092058768658,272.53,1.15810593472515
"359","Spermophilus columbianus",383,115,869,493.60182767624,7.67577618290946,470.94,2.95238255209916
"360","Spermophilus lateralis",57,34,340.19,171.601578947368,7.66305498094229,175.1,0.456530856340195
"361","Spermophilus tridecemlineatus",10,0,624,160.6,54.3235942191686,174.91,0.263421450765321
"362","Spermophilus washingtoni",46,7,225.2,125.484782608696,6.85475959852271,215.09,13.0719708114367
"363","Stenella attenuata",71,20000,90800,55129.4211267606,1585.86009764528,65733.59,6.68669883868367
"364","Sturnira erythromos",16,13,21,15.78125,0.530268701540392,15.53,0.473816386428499
"365","Sturnira lilium",173,4,33.4,18.099710982659,0.324317584479378,20.19,6.44519174221327
"366","Sturnira ludovici",66,13,35.8,22.7106060606061,0.581438329042403,21,2.94202493224576
"367","Sturnira oporaphilum",11,16.5,46,22.5,2.46981780704569,21.99,0.206492964195624
"368","Sturnira tildae",21,2.2,33,24.152380952381,1.35730157802021,24.39,0.17506724479437
"369","Suncus murinus",28,17,73,44.8857142857143,3.17766974904781,43.76,0.354257797259016
"370","Syconycteris australis",27,9.6,52.8,31.8777777777778,2.60836007104252,17.6,5.47385230140837
"371","Sylvilagus audubonii",67,50,1255,849.961940298507,32.8413217536858,880.88,0.941437739119698
"372","Sylvilagus floridanus",124,11.26,1518.3,967.281935483871,33.0377071470017,1207.19,7.26164389824801
"373","Sylvilagus nuttallii",33,62.8,1133.98,668.494242424242,54.2192510312721,801.54,2.45384720454771
"374","Synaptomys borealis",157,8.1,41.8,21.1694267515924,0.550443871206681,21.3,0.237214464976058
"375","Synaptomys cooperi",48,10.9,61.6,29.6454166666667,1.46636709016353,28.01,1.11528462254583
"376","Tadarida brasiliensis",92,3,16,9.1129347826087,0.361076869829056,12.61,9.68509896257524
"377","Tamias amoenus",488,17,73,47.2946721311475,0.365890645136529,50.63,9.11564128021888
"378","Tamias dorsalis",43,37,65.9,53.1558139534884,0.85761072158932,63.66,12.2481981417458
"379","Tamias merriami",11,45.2,79.45,64.3190909090909,3.20904275008932,74.77,3.25670609736134
"380","Tamias minimus",771,8,4037,42.3974708171206,5.19787336004424,42.87,0.090908175353344
"381","Tamias quadrivittatus",66,11,79,54.4151515151515,1.74692836313929,57.49,1.76014572190177
"382","Tamias ruficaudus",251,19.1,75.2,54.9924302788845,0.611111137674742,60.06,8.29238645591942
"383","Tamias rufus",106,27.5,76,49.6698113207547,0.834209246560117,53.6,4.71127441400526
"384","Tamias senex",39,51,95.5,75.2,1.9169919925746,89.35,7.38135581933023
"385","Tamias sibiricus",37,20.7,104.4,78.9513513513513,2.35053703409944,94.16,6.47028675915992
"386","Tamias siskiyou",51,59,114,77.6274509803922,1.85809533184033,75,1.41405606879697
"387","Tamias townsendii",138,21.2,100,65.8391304347826,1.24967378998854,79.12,10.6274690816226
"388","Tamias umbrinus",101,37.2,75,53.960396039604,0.846405421205103,51.75,2.61150978505883
"389","Tamiasciurus douglasii",257,71.5,314.7,207.047276264591,3.07990956533644,225,5.8289775574782
"390","Tamiasciurus hudsonicus",791,3.4,1005,207.701061946903,2.22201008259702,200.24,3.35779842105054
"391","Taxidea taxus",17,1953.6,11500,7055.11294117647,550.017911232259,7842.15,1.43092987110229
"392","Thomomys bottae",33,29.5,261,125.366666666667,8.55958689293927,122.7,0.311541514797445
"393","Thomomys bulbivorus",227,64.8,642.5,343.273568281938,6.53021117380877,359.9,2.54607872173363
"394","Thomomys mazama",86,35.5,129.6,80.9593023255814,1.73977086868705,93.07,6.96108774574331
"395","Thomomys talpoides",340,28.9,181.2,73.0901470588235,1.56810240834127,104.64,20.1197656309639
"396","Thomomys umbrinus",11,35,170,104.272727272727,12.1184239217444,125.56,1.75660406540791
"397","Trachops cirrhosus",17,12,40,30.4352941176471,1.54322383094208,36.9,4.18909153211203
"398","Trichechus manatus",14,36000,555000,278800,43303.178575311,467324.83,4.35360258074649
"399","Tursiops truncatus",32,14500,340000,145767.44375,18017.0992704852,281040.55,7.50804023551106
"400","Urocyon cinereoargenteus",26,18,4800,3467.49230769231,200.30910399857,3833.71,1.8282628447597
"401","Uroderma bilobatum",73,3,22,15.7041095890411,0.64614368991884,16.28,0.89127297835446
"402","Ursus americanus",30,15.42,189318,75687.1423333333,11446.6025593047,110500,3.0413266719362
"403","Vampyressa bidens",13,11,44,14.2307692307692,2.49654593736166,11.91,0.929592039961344
"404","Vulpes lagopus",14,1500,6583,3928.725,328.739406830124,3584.37,1.0475014337966
"405","Vulpes macrotis",34,535,3073,2226.79411764706,86.7497556532773,4499.97,26.2038303766342
"406","Vulpes velox",24,1821,2664,2233.19541666667,49.5857167335308,2088,2.92817017140104
"407","Vulpes vulpes",234,2.72,54884.68,4064.44145299145,226.754850486959,4820.36,3.33363782686546
"408","Zalophus californianus",16,8,278959.3,62816.94375,18183.408640248,137194.86,4.09042758272331
"409","Zapus hudsonius",210,0.8,37.1,17.5217142857143,0.343922483240633,18.43,2.6409605610175
"410","Zapus princeps",545,5.6,224,23.1585321100917,0.424366304912437,27.2,9.52353625423245
"411","Zapus trinotatus",198,6.3,55.2,24.6671717171717,0.39537579280971,27.45,7.03843870423201
